SYMBOL,ENSEMBL,ENTREZID
A1BG,ENSG00000121410,1
A1BG-AS1,ENSG00000268895,503538
A2M,ENSG00000175899,2
A2M-AS1,ENSG00000245105,144571
A2ML1,ENSG00000166535,144568
A4GALT,ENSG00000128274,53947
AAAS,ENSG00000094914,8086
AACS,ENSG00000081760,65985
AADAC,ENSG00000114771,13
AADAT,ENSG00000109576,51166
AAGAB,ENSG00000103591,79719
AAK1,ENSG00000115977,22848
AAMDC,ENSG00000087884,28971
AAMP,ENSG00000127837,14
AANAT,ENSG00000129673,15
AAR2,ENSG00000131043,25980
AARD,ENSG00000205002,441376
AARS1,ENSG00000090861,16
AARS2,ENSG00000124608,57505
AARSD1,ENSG00000266967,80755
AARSD1P1,ENSG00000234969,117981788
AASDH,ENSG00000157426,132949
AASDHPPT,ENSG00000149313,60496
AASS,ENSG00000008311,10157
AATBC,ENSG00000215458,284837
AATF,ENSG00000275700,26574
AATK,ENSG00000181409,9625
ABAT,ENSG00000183044,18
ABCA1,ENSG00000165029,19
ABCA10,ENSG00000154263,10349
ABCA12,ENSG00000144452,26154
ABCA13,ENSG00000179869,154664
ABCA2,ENSG00000107331,20
ABCA3,ENSG00000167972,21
ABCA4,ENSG00000198691,24
ABCA5,ENSG00000154265,23461
ABCA6,ENSG00000154262,23460
ABCA7,ENSG00000064687,10347
ABCA8,ENSG00000141338,10351
ABCA9,ENSG00000154258,10350
ABCB1,ENSG00000085563,5243
ABCB10,ENSG00000135776,23456
ABCB11,ENSG00000073734,8647
ABCB4,ENSG00000005471,5244
ABCB5,ENSG00000004846,340273
ABCB6,ENSG00000115657,10058
ABCB7,ENSG00000131269,22
ABCB8,ENSG00000197150,11194
ABCB9,ENSG00000150967,23457
ABCC1,ENSG00000103222,4363
ABCC10,ENSG00000124574,89845
ABCC11,ENSG00000121270,85320
ABCC12,ENSG00000140798,94160
ABCC2,ENSG00000023839,1244
ABCC3,ENSG00000108846,8714
ABCC4,ENSG00000125257,10257
ABCC5,ENSG00000114770,10057
ABCC6,ENSG00000091262,368
ABCC8,ENSG00000006071,6833
ABCC9,ENSG00000069431,10060
ABCD1,ENSG00000101986,215
ABCD2,ENSG00000173208,225
ABCD3,ENSG00000117528,5825
ABCD4,ENSG00000119688,5826
ABCE1,ENSG00000164163,6059
ABCF1,ENSG00000204574,23
ABCF2,ENSG00000033050,10061
ABCF3,ENSG00000161204,55324
ABCG1,ENSG00000160179,9619
ABCG2,ENSG00000118777,9429
ABCG4,ENSG00000172350,64137
ABCG5,ENSG00000138075,64240
ABCG8,ENSG00000143921,64241
ABHD1,ENSG00000143994,84696
ABHD10,ENSG00000144827,55347
ABHD11,ENSG00000106077,83451
ABHD12,ENSG00000100997,26090
ABHD12B,ENSG00000131969,145447
ABHD13,ENSG00000139826,84945
ABHD14A,ENSG00000248487,25864
ABHD14B,ENSG00000114779,84836
ABHD15,ENSG00000168792,116236
ABHD16A,ENSG00000204427,7920
ABHD17A,ENSG00000129968,81926
ABHD17B,ENSG00000107362,51104
ABHD17C,ENSG00000136379,58489
ABHD18,ENSG00000164074,80167
ABHD2,ENSG00000140526,11057
ABHD3,ENSG00000158201,171586
ABHD4,ENSG00000100439,63874
ABHD5,ENSG00000011198,51099
ABHD6,ENSG00000163686,57406
ABHD8,ENSG00000127220,79575
ABI1,ENSG00000136754,10006
ABI2,ENSG00000138443,10152
ABI3,ENSG00000108798,51225
ABI3BP,ENSG00000154175,25890
ABITRAM,ENSG00000119328,54942
ABL1,ENSG00000097007,25
ABL2,ENSG00000143322,27
ABLIM1,ENSG00000099204,3983
ABLIM2,ENSG00000163995,84448
ABLIM3,ENSG00000173210,22885
ABO,ENSG00000175164,28
ABR,ENSG00000159842,29
ABRACL,ENSG00000146386,58527
ABRAXAS1,ENSG00000163322,84142
ABRAXAS2,ENSG00000165660,23172
ABT1,ENSG00000146109,29777
ABTB1,ENSG00000114626,80325
ABTB2,ENSG00000166016,25841
ABTB3,ENSG00000151136,121551
ACAA1,ENSG00000060971,30
ACAA2,ENSG00000167315,10449
ACAA2P1,ENSG00000233585,100420869
ACACA,ENSG00000278540,31
ACACB,ENSG00000076555,32
ACAD10,ENSG00000111271,80724
ACAD11,ENSG00000240303,84129
ACAD8,ENSG00000151498,27034
ACAD9,ENSG00000177646,28976
ACAD9-DT,ENSG00000287110,123706524
ACADL,ENSG00000115361,33
ACADM,ENSG00000117054,34
ACADS,ENSG00000122971,35
ACADSB,ENSG00000196177,36
ACADVL,ENSG00000072778,37
ACAN,ENSG00000157766,176
ACAP1,ENSG00000072818,9744
ACAP2,ENSG00000114331,23527
ACAP3,ENSG00000131584,116983
ACAT1,ENSG00000075239,38
ACAT2,ENSG00000120437,39
ACBD3,ENSG00000182827,64746
ACBD3-AS1,ENSG00000234478,107985353
ACBD4,ENSG00000181513,79777
ACBD5,ENSG00000107897,91452
ACBD6,ENSG00000230124,84320
ACBD7,ENSG00000176244,414149
ACCS,ENSG00000110455,84680
ACD,ENSG00000102977,65057
ACE,ENSG00000159640,1636
ACE2,ENSG00000130234,59272
ACE2-DT,ENSG00000225833,104798195
ACER1,ENSG00000167769,125981
ACER2,ENSG00000177076,340485
ACER3,ENSG00000078124,55331
ACHE,ENSG00000087085,43
ACIN1,ENSG00000100813,22985
ACKR1,ENSG00000213088,2532
ACKR2,ENSG00000144648,1238
ACKR3,ENSG00000144476,57007
ACKR4,ENSG00000129048,51554
ACLY,ENSG00000131473,47
ACMSD,ENSG00000153086,130013
ACO1,ENSG00000122729,48
ACO2,ENSG00000100412,50
ACOD1,ENSG00000102794,730249
ACOT1,ENSG00000184227,641371
ACOT11,ENSG00000162390,26027
ACOT13,ENSG00000112304,55856
ACOT2,ENSG00000119673,10965
ACOT4,ENSG00000177465,122970
ACOT6,ENSG00000205669,641372
ACOT7,ENSG00000097021,11332
ACOT8,ENSG00000101473,10005
ACOT9,ENSG00000123130,23597
ACOX1,ENSG00000161533,51
ACOX2,ENSG00000168306,8309
ACOX3,ENSG00000087008,8310
ACOXL,ENSG00000153093,55289
ACOXL-AS1,ENSG00000204581,400997
ACP1,ENSG00000143727,52
ACP2,ENSG00000134575,53
ACP3,ENSG00000014257,55
ACP4,ENSG00000142513,93650
ACP5,ENSG00000102575,54
ACP6,ENSG00000162836,51205
ACP7,ENSG00000183760,390928
ACR,ENSG00000100312,49
ACRBP,ENSG00000111644,84519
ACRV1,ENSG00000134940,56
ACSBG1,ENSG00000103740,23205
ACSBG2,ENSG00000130377,81616
ACSF2,ENSG00000167107,80221
ACSF3,ENSG00000176715,197322
ACSL1,ENSG00000151726,2180
ACSL3,ENSG00000123983,2181
ACSL4,ENSG00000068366,2182
ACSL5,ENSG00000197142,51703
ACSL6,ENSG00000164398,23305
ACSM1,ENSG00000166743,116285
ACSM3,ENSG00000005187,6296
ACSM4,ENSG00000215009,341392
ACSM5,ENSG00000183549,54988
ACSM6,ENSG00000173124,142827
ACSS1,ENSG00000154930,84532
ACSS2,ENSG00000131069,55902
ACSS3,ENSG00000111058,79611
ACTA1,ENSG00000143632,58
ACTA2,ENSG00000107796,59
ACTA2-AS1,ENSG00000180139,100132116
ACTB,ENSG00000075624,60
ACTBL2,ENSG00000169067,345651
ACTC1,ENSG00000159251,70
ACTG1,ENSG00000184009,71
ACTG1P14,ENSG00000230581,100418910
ACTG1P15,ENSG00000259904,100418951
ACTG1P22,ENSG00000271615,100131953
ACTG1P23,ENSG00000230362,442097
ACTG2,ENSG00000163017,72
ACTL6A,ENSG00000136518,86
ACTL8,ENSG00000117148,81569
ACTMAP,ENSG00000188493,284325
ACTN1,ENSG00000072110,87
ACTN1-DT,ENSG00000259062,161159
ACTN2,ENSG00000077522,88
ACTN3,ENSG00000248746,89
ACTN4,ENSG00000130402,81
ACTR10,ENSG00000131966,55860
ACTR1A,ENSG00000138107,10121
ACTR1B,ENSG00000115073,10120
ACTR2,ENSG00000138071,10097
ACTR3,ENSG00000115091,10096
ACTR3B,ENSG00000133627,57180
ACTR3C,ENSG00000106526,653857
ACTR5,ENSG00000101442,79913
ACTR6,ENSG00000075089,64431
ACTR8,ENSG00000113812,93973
ACTRT3,ENSG00000184378,84517
ACVR1,ENSG00000115170,90
ACVR1B,ENSG00000135503,91
ACVR1C,ENSG00000123612,130399
ACVR2A,ENSG00000121989,92
ACVR2B,ENSG00000114739,93
ACVR2B-AS1,ENSG00000229589,100128640
ACVRL1,ENSG00000139567,94
ACY1,ENSG00000243989,95
ACY3,ENSG00000132744,91703
ACYP1,ENSG00000119640,97
ACYP2,ENSG00000170634,98
ADA,ENSG00000196839,100
ADA2,ENSG00000093072,51816
ADAD2,ENSG00000140955,161931
ADAM10,ENSG00000137845,102
ADAM11,ENSG00000073670,4185
ADAM12,ENSG00000148848,8038
ADAM15,ENSG00000143537,8751
ADAM17,ENSG00000151694,6868
ADAM19,ENSG00000135074,8728
ADAM1B,ENSG00000226469,100420505
ADAM21,ENSG00000139985,8747
ADAM22,ENSG00000008277,53616
ADAM23,ENSG00000114948,8745
ADAM28,ENSG00000042980,10863
ADAM29,ENSG00000168594,11086
ADAM32,ENSG00000197140,203102
ADAM33,ENSG00000149451,80332
ADAM8,ENSG00000151651,101
ADAM9,ENSG00000168615,8754
ADAMDEC1,ENSG00000134028,27299
ADAMTS1,ENSG00000154734,9510
ADAMTS10,ENSG00000142303,81794
ADAMTS12,ENSG00000151388,81792
ADAMTS13,ENSG00000160323,11093
ADAMTS14,ENSG00000138316,140766
ADAMTS15,ENSG00000166106,170689
ADAMTS16,ENSG00000145536,170690
ADAMTS16-DT,ENSG00000250579,101929176
ADAMTS17,ENSG00000140470,170691
ADAMTS18,ENSG00000140873,170692
ADAMTS19,ENSG00000145808,171019
ADAMTS19-AS1,ENSG00000249421,103689846
ADAMTS2,ENSG00000087116,9509
ADAMTS20,ENSG00000173157,80070
ADAMTS3,ENSG00000156140,9508
ADAMTS4,ENSG00000158859,9507
ADAMTS5,ENSG00000154736,11096
ADAMTS6,ENSG00000049192,11174
ADAMTS7,ENSG00000136378,11173
ADAMTS7P1,ENSG00000274376,390660
ADAMTS7P3,ENSG00000261143,400406
ADAMTS7P4,ENSG00000218052,642935
ADAMTS8,ENSG00000134917,11095
ADAMTS9,ENSG00000163638,56999
ADAMTS9-AS1,ENSG00000241158,101929335
ADAMTS9-AS2,ENSG00000241684,100507098
ADAMTSL1,ENSG00000178031,92949
ADAMTSL2,ENSG00000197859,9719
ADAMTSL3,ENSG00000156218,57188
ADAMTSL4,ENSG00000143382,54507
ADAMTSL4-AS1,ENSG00000143384,574406
ADAMTSL4-AS2,ENSG00000237781,100289061
ADAMTSL5,ENSG00000185761,339366
ADAP1,ENSG00000105963,11033
ADAP2,ENSG00000184060,55803
ADAR,ENSG00000160710,103
ADARB1,ENSG00000197381,104
ADARB2,ENSG00000185736,105
ADARB2-AS1,ENSG00000205696,642394
ADAT1,ENSG00000065457,23536
ADAT2,ENSG00000189007,134637
ADAT3,ENSG00000213638,113179
ADCK1,ENSG00000063761,57143
ADCK2,ENSG00000133597,90956
ADCK5,ENSG00000173137,203054
ADCY1,ENSG00000164742,107
ADCY10,ENSG00000143199,55811
ADCY2,ENSG00000078295,108
ADCY3,ENSG00000138031,109
ADCY4,ENSG00000129467,196883
ADCY5,ENSG00000173175,111
ADCY6,ENSG00000174233,112
ADCY6-DT,ENSG00000257660,100506125
ADCY7,ENSG00000121281,113
ADCY8,ENSG00000155897,114
ADCY9,ENSG00000162104,115
ADCYAP1,ENSG00000141433,116
ADCYAP1R1,ENSG00000078549,117
ADD1,ENSG00000087274,118
ADD2,ENSG00000075340,119
ADD3,ENSG00000148700,120
ADD3-AS1,ENSG00000203876,100505933
ADGB,ENSG00000118492,79747
ADGRA2,ENSG00000020181,25960
ADGRA3,ENSG00000152990,166647
ADGRA3P1,ENSG00000256616,100996333
ADGRB1,ENSG00000181790,575
ADGRB2,ENSG00000121753,576
ADGRB3,ENSG00000135298,577
ADGRD1,ENSG00000111452,283383
ADGRD2,ENSG00000180264,347088
ADGRE1,ENSG00000174837,2015
ADGRE2,ENSG00000127507,30817
ADGRE3,ENSG00000131355,84658
