view,is_permuted,rho_dist_expr_vs_tf
dorothea_AC__viper,FALSE,0.2763121241111611
dorothea_AB__viper,FALSE,0.3399525903151662
collectri__viper,FALSE,0.3654042899787797
dorothea_AC_edgeperm__viper,TRUE,0.28717213402214825
dorothea_AB_edgeperm__viper,TRUE,0.32100495304184085
collectri_edgeperm__viper,TRUE,0.332134221894726
dorothea_AC__ulm,FALSE,0.2599874932655808
dorothea_AB__ulm,FALSE,0.32215856141462523
collectri__ulm,FALSE,0.3433005965329037
dorothea_AC_edgeperm__ulm,TRUE,0.2735148323315158
dorothea_AB_edgeperm__ulm,TRUE,0.30552561104977133
collectri_edgeperm__ulm,TRUE,0.3155917846869584
dorothea_AC__mlm,FALSE,0.4390221258035232
dorothea_AB__mlm,FALSE,0.3780882085006387
dorothea_AC_edgeperm__mlm,TRUE,0.46617358472892245
dorothea_AB_edgeperm__mlm,TRUE,0.4180260767722204
collectri_edgeperm__mlm,TRUE,0.4994854931175435
dorothea_AC__norm_wsum,FALSE,0.2595134852437612
dorothea_AB__norm_wsum,FALSE,0.3225970896485359
collectri__norm_wsum,FALSE,0.3431972314424514
dorothea_AC_edgeperm__norm_wsum,TRUE,0.27191710159818433
dorothea_AB_edgeperm__norm_wsum,TRUE,0.30399423972126
collectri_edgeperm__norm_wsum,TRUE,0.3170629231267433
dorothea_AC__consensus,FALSE,0.30807687863594674
dorothea_AB__consensus,FALSE,0.35383537432267664
collectri__consensus,FALSE,0.36210337943570603
dorothea_AC_edgeperm__consensus,TRUE,0.3227726668074306
dorothea_AB_edgeperm__consensus,TRUE,0.3401233113535177
collectri_edgeperm__consensus,TRUE,0.37438894687480817
