ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,k,cluster
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,0.573665729039387,3.068193926011409,1e-10,5.555555555555555e-10,2.3391812865497077e-10,2189,"tags=44%, list=11%, signal=40%",THSD4/SLC39A6/ABAT/CA12/IL6ST/MAPT/PGR/KDM4B/CELSR1/SLC22A5/XBP1/KCNK15/GREB1/SLC7A2/STC2/MLPH/ANXA9/WFS1/RETREG1/UGCG/MINDY1/GFRA1/ADCY9/LRIG1/RARA/SYBU/ADCY1/PDZK1/MAST4/SLC19A2/ELOVL2/IGF1R/TFF1/NPY1R/BCL2/MYB/SEMA3B/TTC39A/RAB17/MED13L/ELOVL5/SEC14L2/CCND1/RET/BHLHE40/IGFBP4/CISH/ARL3/SLC27A2/SIAH2/TPBG/MREG/ABHD2/PRSS23/EEIG1/TFF3/ABCA3/PEX11A/KRT18/MSMB/NRIP1/NHERF1/AR/GJA1/AMFR/SCNN1A/AFF1/MYOF/CELSR2/ITPK1/SLC1A1/FLNB/RAB31/TJP3/REEP1/AREG/EGR3/HSPB8/ASB13/MUC1/CANT1/CBFA2T3/DHRS2/ELF1/KRT8/TIPARP/SLC1A4/DYNLT3,2,SNF_C1
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,-0.6386961939032954,-2.8835633968990466,1e-10,5.555555555555555e-10,2.3391812865497077e-10,4546,"tags=66%, list=22%, signal=52%",SPAG5/CIT/ESPL1/SLBP/HMGB3/POLA2/RPA2/XPO1/SMC4/E2F8/HELLS/NOLC1/EXOSC8/BRCA2/UNG/SRSF2/RPA1/HMGB2/MYC/TMPO/TFRC/CENPM/SPC25/PLK4/RAN/NOP56/TIPIN/HMMR/ASF1B/KPNA2/BUB1B/H2AX/PCNA/CENPE/CDKN3/TK1/XRCC6/LMNB1/POP7/RNASEH2A/GINS1/GINS4/AURKA/MCM2/HNRNPD/RRM2/TRA2B/ASF1A/JPT1/CDK1/PPP1R8/PSIP1/RFC3/UBE2T/MAD2L1/NUP205/TACC3/ILF3/KIF4A/MKI67/CDK4/SPC24/DNMT1/H2AZ1/ZW10/UBE2S/TBRG4/GINS3/MTHFD2/SMC6/CKS2/DIAPH3/POLD1/BIRC5/CDKN2C/SUV39H1/DLGAP5/MCM4/SYNCRIP/EED/MYBL2/MMS22L/KIF18B/AK2/DCLRE1B/DSCC1/PTTG1/DDX39A/CNOT9/CDC25B/PRIM2/TCF19/MSH2/RFC2/TRIP13/DEPDC1/SSRP1/ORC6/CCNB2/PLK1/RAD51AP1/MELK/CHEK2/PRDX4/CDCA3/USP1/MCM3/CDC25A/EZH2/CKS1B/MCM6/PHF5A/DONSON/AURKB/RANBP1/KIF2C/TUBB/MCM7/CHEK1/LYAR/MCM5/ANP32E/STMN1/LBR/CDCA8/DEK/CCNE1/NCAPD2/CDC20/CTPS1/HMGA1/NASP/CDKN2A,2,SNF_C1
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,193,-0.6164929483955537,-2.7796354353118735,1e-10,5.555555555555555e-10,2.3391812865497077e-10,5038,"tags=68%, list=25%, signal=52%",MMP9/ITGAL/IL12B/CD1D/ST8SIA4/CCL19/FCGR2B/HIF1A/CCL2/IGSF6/IFNGR2/IL10/EIF3D/GLMN/B2M/CD74/GBP2/NOS2/HLA-DOA/BCAT1/IL18/TRAT1/PSMB10/STAT1/CD40LG/CD28/FGR/RPL39/ABCE1/STAT4/FLNA/CD4/HLA-DMB/SPI1/LIF/HLA-DRA/TAPBP/CRTAM/CD80/ETS1/CCND3/HLA-DMA/PTPRC/IRF8/IL7/GZMA/FAS/AARS1/C2/ITK/CD47/CD8A/CD86/CD3G/CD96/LCP2/CXCR3/HLA-G/HCLS1/FYB1/CCR2/CD3E/IFNGR1/CD3D/PRKCB/ACHE/MRPL3/CD2/CCR5/SRGN/CCL7/CD8B/ITGB2/ZAP70/RPS19/DARS1/ELF4/HLA-E/IL15/SIT1/HLA-A/TLR2/TLR1/EIF5A/CCR1/CD247/CCL4/IL18RAP/WAS/NCF4/IL12A/CXCL9/UBE2D1/FASLG/MTIF2/LTB/LCK/CD40/SOCS1/LY75/NCR1/KLRD1/ABI1/TLR6/IL2RG/CTSS/TNF/CCL5/CD79A/CD7/MAP4K1/ICAM1/IRF4/IL12RB1/PRF1/IFNG/CCL13/CSK/IL27RA/TAP1/GZMB/NCK1/IL2RA/EGFR/RIPK2/IFNAR2/TAP2/HLA-DOB/LYN/WARS1/CDKN2A,2,SNF_C1
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,199,-0.587967170560804,-2.6583383985700424,1e-10,5.555555555555555e-10,2.3391812865497077e-10,4581,"tags=60%, list=23%, signal=47%",HIF1A/KNL1/ESPL1/EWSR1/HMGB3/POLA2/RPA2/PBK/CASP8AP2/NEK2/DTYMK/XPO1/CHMP1A/SMC4/NUP50/MTF2/KMT5A/SFPQ/NOLC1/PRC1/BRCA2/TRAIP/SRSF2/ATF5/MYC/TMPO/SLC7A1/PLK4/KIF11/HMMR/KPNA2/H2AX/CENPE/CDKN3/LMNB1/TROAP/AURKA/POLQ/FANCC/RBL1/MCM2/HNRNPD/E2F1/TRA2B/JPT1/CDK1/CUL1/MAD2L1/EFNA5/TACC3/CENPF/ILF3/KIF4A/MKI67/CDK4/SAP30/KIF15/DMD/CHAF1A/H2AZ1/UBE2S/KIF23/CKS2/HIRA/BIRC5/CDKN2C/SNRPD1/SUV39H1/SYNCRIP/UBE2C/NCL/MYBL2/FBXO5/UCK2/CDC7/INCENP/PTTG1/DDX39A/CDC25B/E2F4/TPX2/EXO1/PRIM2/CCNA2/PML/CDC45/KATNA1/BUB1/ORC6/CCNB2/DBF4/PLK1/STIL/TENT4A/MCM3/CDC25A/TFDP1/EZH2/CKS1B/MCM6/RAD54L/DKC1/AMD1/NDC80/SLC7A5/AURKB/E2F2/TTK/KIF2C/CHEK1/MCM5/STMN1/LBR/ODC1/CENPA/E2F3/CDC20/HMGA1/NASP,2,SNF_C1
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,-0.5682670113915955,-2.565592169415876,1e-10,5.555555555555555e-10,2.3391812865497077e-10,4403,"tags=51%, list=22%, signal=40%",RRP9/PPIA/EIF3D/PSMD8/CYC1/CNBP/LSM7/SET/XPO1/XPOT/HSPE1/EPRS1/CDK2/DDX21/HPRT1/NOLC1/EEF1B2/AIMP2/POLE3/PRPS2/SRSF2/TARDBP/CCT3/MYC/ABCE1/PSMA4/PSMC4/HNRNPA3/RAN/NOP56/PSMA7/ACP1/CCT7/PGK1/SRSF7/KPNA2/PCNA/HSPD1/XRCC6/COX5A/MCM2/HNRNPD/SSBP1/TRA2B/SSB/DDX18/PSMD14/HDDC2/CUL1/SRSF3/PSMD7/MAD2L1/SNRPA/PHB2/TCP1/EIF2S2/CDK4/H2AZ1/NOP16/STARD7/SRM/PABPC1/SF3B3/CCT5/EIF3B/SNRPD1/MCM4/SYNCRIP/TYMS/YWHAQ/UBA2/CCT4/MRPL9/PPM1G/CAD/SNRPA1/CCNA2/FBL/LSM2/PABPC4/CDC45/SNRPG/PRDX4/HDGF/USP1/TFDP1/MCM6/KARS1/HDAC2/ILF2/RANBP1/MCM7/IFRD1/SRPK1/MCM5/RFC4/PSMB2/SERBP1/ODC1/DEK/CDC20/CTPS1,2,SNF_C1
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,199,-0.553401232622244,-2.5020576320486394,1e-10,5.555555555555555e-10,2.3391812865497077e-10,6669,"tags=66%, list=33%, signal=45%",IFIT3/FGL2/MX1/SLC25A28/XAF1/P2RY14/MT2A/BPGM/UBE2L6/PARP14/PSMA3/MARCHF1/BTG1/CD69/VAMP5/FPR1/PTPN6/IL2RB/PSME2/CMKLR1/NOD1/STAT2/TRIM21/HLA-DQA1/IFI44L/CASP3/SAMD9L/IFIT2/RSAD2/USP18/ST8SIA4/GCH1/HIF1A/IRF5/CCL2/PDE4B/OASL/LAP3/CMPK2/KLRK1/B2M/C1R/PARP12/C1S/CD74/SECTM1/PSMB8/SAMHD1/LYSMD2/PSMB10/CASP4/FCGR1A/STAT1/TRIM26/IFI30/NAMPT/STAT4/HLA-DRB1/IL10RA/TAPBP/HLA-DMA/IRF8/IL7/GZMA/FAS/MYD88/TMT1B/GBP6/IFI44/CD86/APOL6/CASP1/LCP2/HLA-G/LY6E/IRF1/ISG20/XCL1/TNFAIP3/CCL7/EPSTI1/RTP4/HLA-B/MX2/IL15/HLA-A/BATF2/IFIH1/GPR18/CIITA/CXCL9/ZBP1/PLSCR1/PNPT1/BANK1/TNFAIP2/MTHFD2/CD40/SOCS1/GBP4/ITGB7/CSF2RB/PSMB9/CD274/PNP/CCL5/VCAM1/ICAM1/CXCL11/IL18BP/NLRC5/IRF4/SLAMF7/PML/IL15RA/NMI/TAP1/UPP1/PELI1/CD38/PFKP/PIM1/PTGS2/PTPN2/CXCL10/RIPK2/IFNAR2/PSMB2/NUP93/IDO1/PLA2G4A/WARS1,2,SNF_C1
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,200,0.437973798329109,2.342459170492396,1e-10,5.555555555555555e-10,2.3391812865497077e-10,3360,"tags=45%, list=17%, signal=38%",SCUBE2/CA12/IL6ST/MAPT/PGR/SLC22A5/XBP1/DNAJC12/RABEP1/ANXA9/CACNA2D2/WFS1/ASCL1/PDZK1/PTGER3/TSPAN13/AGR2/TFF1/NPY1R/BCL2/MYB/SEMA3B/ELOVL5/CCND1/RET/IGFBP4/CISH/SERPINA5/ARL3/SLC27A2/SIAH2/TPBG/ABHD2/UGDH/PRSS23/COX6C/EEIG1/TFF3/ABCA3/PRLR/NRIP1/NHERF1/GPER1/AMFR/ACOX2/SCNN1A/AFF1/MYOF/CELSR2/TPSAB1/CXCL14/ITPK1/CHST8/FLNB/RAB31/TFPI2/TJP3/AREG/EGR3/HSPB8/IGSF1/DNAJC1/HMGCS2/EMP2/ST6GALNAC2/DHRS2/MOCS2/ALDH3A2/SLC1A4/PDCD4/DYNLT3/DLG5/TOB1/CPE/OVOL2/GLA/BAG1/SERPINA1/FGFR3/CYP4F11/CALCR/LARGE1/PTGES/PLAAT3/SORD/PLXNB1/SERPINA3/KRT19/FKBP4/PLAC1,2,SNF_C1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,200,-0.4801111717208196,-2.167589245766014,1e-10,5.555555555555555e-10,2.3391812865497077e-10,4635,"tags=48%, list=23%, signal=37%",PLOD2/PSMD13/RAB1A/IDI1/RRP9/PPIA/PSMB5/GOT1/HSPE1/SSR1/EPRS1/STIP1/HPRT1/IMMT/PRDX1/BCAT1/ACTR2/UNG/YKT6/ERO1A/PFKL/RPA1/SLA/IFI30/NAMPT/PSMA4/UCHL5/PSMC4/TFRC/PGK1/DHCR7/ABCF2/DDIT4/HSP90B1/CACYBP/HSPD1/PPA1/MAP2K3/PSMC2/MLLT11/AURKA/NFKBIB/ITGB2/MCM2/RRM2/HMBS/SERPINH1/EBP/PSMD14/ARPC5L/PDAP1/SLC2A1/NUP205/LGMN/EIF2S2/STARD4/VLDLR/CORO1A/NFYC/DAPP1/CXCR4/MTHFD2/PNO1/TES/PITPNB/RPN1/MCM4/PNP/TOMM40/GPI/CALR/SHMT2/PSPH/TUBA4A/CCT6A/DDX39A/SRD5A1/GMPS/NFIL3/TPI1/GAPDH/BUB1/ACTR3/PGM1/PLK1/CDC25A/SLC7A5/PSMG1/POLR3G/IFRD1/PDK1/CTSC/ENO1/WARS1/PHGDH/PSAT1,2,SNF_C1
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,198,-0.4756463375112132,-2.147463293211782,1e-10,5.555555555555555e-10,2.3391812865497077e-10,4704,"tags=46%, list=23%, signal=36%",PIK3R5/GCH1/TNFSF15/SLC31A1/HIF1A/CCL2/ADRM1/NMUR1/EBI3/OSM/PDE4B/IFNGR2/IL10/IRAK2/ADGRE1/GPR183/IL18/GNAI3/KIF1B/IL7R/DCBLD2/GNA15/KCNA3/CCL17/NAMPT/PTAFR/MYC/AQP9/IL10RA/LIF/SLC7A1/TAPBP/ITGB8/RHOG/CYBB/EDN1/ATP2C1/GP1BA/KCNJ2/LCP2/TNFRSF1B/LY6E/IRF1/CCL24/CD48/CCR7/CCL7/RTP4/IL18R1/IL15/TLR2/MEFV/TLR1/CD14/TNFSF9/SELL/SLAMF1/CXCL6/IL18RAP/CXCL9/CX3CL1/CD70/LCK/MET/LTA/CD40/PLAUR/ABI1/CD82/TNFRSF9/CXCL8/ADM/SPHK1/CXCR6/CCL5/SEMA4D/ICAM1/CXCL11/IL1A/ADORA2B/IL15RA/NMI/OPRK1/PVR/ROS1/MARCO/CXCL10/RIPK2/CCL20/LAMP3/LYN/CHST2,2,SNF_C1
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.5958508552562136,-2.2653042835277732,8.559102092379095e-8,4.2795510461895477e-7,1.8019162299745465e-7,5036,"tags=76%, list=25%, signal=57%",NPM1/GNL3/PPAN/RRP12/PA2G4/CBX3/FARSA/MAP3K6/EXOSC5/SLC19A1/RRP9/HSPE1/NOLC1/AIMP2/UNG/IMP4/MYC/NOP2/PLK4/NOP56/RCL1/HSPD1/PUS1/WDR74/MYBBP1A/PPRC1/DUSP2/DDX18/PES1/SUPV3L1/CDK4/MRTO4/TBRG4/NOP16/SRM/MCM4/MPHOSPH10/WDR43/TCOF1/PLK1/BYSL/NIP7/NDUFAF4/MCM5,2,SNF_C1
