ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,k,cluster
R-HSA-69239,Synthesis of DNA,118,-0.5613246740965371,-2.3819432940652407,1e-10,1.2084615384615384e-8,8.866396761133604e-9,4996,"tags=54%, list=25%, signal=41%",5689/5425/5695/5710/5719/5717/9978/23595/84515/23649/6118/5714/5693/1017/5686/7311/5702/5696/54107/5699/6117/5685/5704/5688/5111/5701/9837/84296/4171/10213/1763/8454/5983/5713/5708/7321/51053/27338/64785/2237/5424/6233/5698/4173/7979/11065/5692/5558/890/81620/8318/5982/23594/4172/4175/8900/23198/4176/4998/4174/5984/5690/898/6502,2,SNF_C1
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,123,-0.5536089974965785,-2.3521887581517236,1e-10,1.2084615384615384e-8,8.866396761133604e-9,5681,"tags=66%, list=28%, signal=48%",10219/2214/27180/10990/909/3820/3683/54210/912/7305/6614/29121/2213/131450/126014/10870/11314/3804/27036/718/910/100528032/22914/567/3384/3107/120425/2209/959/3821/3904/146722/117157/3811/10666/3903/56253/29992/925/917/10225/3135/3812/916/259197/915/4068/926/3106/3689/3133/3105/919/6402/1525/11006/353514/114836/10859/89790/3385/958/89858/9437/3824/3695/102725035/107987462/80329/342510/930/7087/7412/10288/3383/3805/57823/3134/79865/5817/79465,2,SNF_C1
R-HSA-453279,Mitotic G1 phase and G1/S transition,148,-0.5412275356665535,-2.3432440590303654,1e-10,1.2084615384615384e-8,8.866396761133604e-9,4860,"tags=53%, list=24%, signal=41%",5695/5710/10000/6714/5719/5717/23595/84515/23649/6118/5714/5693/1017/5686/7311/5702/5696/54107/5699/6117/1032/4609/1030/5685/5704/5688/896/5111/7083/891/5701/1875/5933/4171/6241/1869/983/10213/8454/5713/5708/1019/51053/286826/6233/1031/5698/4173/7979/7298/4605/5692/26271/8317/1874/5558/890/81620/8318/23594/10926/55388/4172/993/7027/1163/4175/1021/8900/1870/4176/4998/4174/5690/898/1871/6502/4067/1029,2,SNF_C1
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,179,-0.5123950263041276,-2.2786960876960713,1e-10,1.2084615384615384e-8,8.866396761133604e-9,7479,"tags=68%, list=37%, signal=43%",6207/2197/6188/27340/23016/6123/6155/11056/6160/118460/81887/6205/79897/6234/6235/27042/6175/6128/6187/27043/6161/26354/6232/6168/6218/65083/55720/6135/11224/6152/25873/6124/5822/57647/10556/1454/6229/55127/6137/79159/6169/90459/6204/6129/6227/6181/6194/6132/6202/56915/5393/6222/3921/6157/6230/6139/9136/54512/81875/23404/79707/114049/84128/9188/7311/4809/6167/11340/6125/6156/92856/26168/9277/6170/6165/6142/10436/10528/200916/10813/25879/6224/10171/8780/10200/6206/22984/54555/10969/27341/6217/6223/55759/55813/10885/23481/28987/116832/54913/56902/6233/9790/4691/10557/10199/23246/88745/8568/55131/10799/23160/2091/6201/51602/84916/54881/84946/705/51388/51118/83732,2,SNF_C1
R-HSA-2555396,Mitotic Metaphase and Anaphase,229,-0.49481615871821505,-2.2746524220767457,1e-10,1.2084615384615384e-8,8.866396761133604e-9,6806,"tags=60%, list=34%, signal=40%",25909/5691/8243/5885/23421/5519/5501/6232/246184/64105/5684/64682/9735/129401/5682/8655/23332/79980/5721/51807/5694/23511/2010/8815/55166/27183/79682/22919/5707/9793/79023/64946/5689/221496/5695/5710/5719/57082/5717/9700/4000/81565/80152/6683/11130/5714/5693/7514/10376/9631/5686/7311/10381/5702/5696/53371/5699/79902/7341/5528/55055/5685/7112/5704/79019/57405/22933/92421/5901/5688/151246/701/55706/1062/891/4001/5701/23636/23279/5905/54821/983/10213/347733/5713/4085/2491/23165/8379/5708/1063/81930/7321/147841/10382/9183/27338/6396/83540/54908/81929/6233/151648/332/5698/7979/200014/11065/7443/5692/26271/91687/113130/7277/3619/9232/1104/220134/84790/84617/79172/1780/55920/699/9133/5347/10403/55839/9212/23198/11004/5690/9688/3930/55143/1058/991,2,SNF_C1
R-HSA-8868773,rRNA processing in the nucleus and cytosol,189,-0.5074038853612853,-2.2730805466558457,1e-10,1.2084615384615384e-8,8.866396761133604e-9,7479,"tags=67%, list=37%, signal=43%",6207/2197/6188/27340/23016/6123/6155/11056/6160/118460/81887/6205/79897/6234/6235/27042/6175/6128/6187/27043/6161/26354/6232/6168/6218/65083/55720/6135/11224/6152/25873/6124/5822/57647/10556/1454/6229/55127/6137/79159/6169/90459/6204/6129/55226/6227/6181/6194/6132/6202/56915/5393/6222/3921/6157/6230/6139/9136/54512/81875/23404/79707/114049/84128/9188/7311/4809/6167/55505/11340/6125/6156/92856/26168/9277/6170/4839/6165/6142/10436/10528/200916/10813/25879/6224/10171/8780/10200/6206/22984/54555/10969/27341/6217/6223/55759/55813/10885/23481/28987/116832/54433/54913/56902/6233/9790/4691/10557/10199/23246/88745/8568/55131/10799/23160/2091/6201/51602/84916/54881/84946/705/51388/1736/51118/83732,2,SNF_C1
R-HSA-68882,Mitotic Anaphase,228,-0.4933713416402202,-2.2677247968093197,1e-10,1.2084615384615384e-8,8.866396761133604e-9,6806,"tags=60%, list=34%, signal=40%",25909/5691/8243/5885/23421/5519/5501/6232/246184/64105/5684/64682/9735/129401/5682/8655/23332/79980/5721/51807/5694/23511/2010/8815/55166/27183/79682/22919/5707/9793/79023/64946/5689/221496/5695/5710/5719/57082/5717/9700/4000/81565/80152/6683/11130/5714/5693/7514/10376/9631/5686/7311/10381/5702/5696/53371/5699/79902/7341/5528/55055/5685/7112/5704/79019/57405/22933/92421/5901/5688/151246/701/55706/1062/891/4001/5701/23636/23279/5905/54821/983/10213/347733/5713/4085/2491/23165/8379/5708/1063/81930/7321/147841/10382/9183/27338/6396/83540/54908/81929/6233/151648/332/5698/7979/200014/11065/7443/5692/91687/113130/7277/3619/9232/1104/220134/84790/84617/79172/1780/55920/699/9133/5347/10403/55839/9212/23198/11004/5690/9688/3930/55143/1058/991,2,SNF_C1
R-HSA-72312,rRNA processing,198,-0.5001113577609095,-2.2584561340743434,1e-10,1.2084615384615384e-8,8.866396761133604e-9,7479,"tags=67%, list=37%, signal=43%",6207/2197/6188/27340/51106/23016/6123/6155/11056/6160/118460/81887/60528/6205/387338/79897/6234/55178/6235/27042/6175/6128/6187/27043/6161/26354/6232/6168/6218/65083/55720/6135/11224/6152/25873/6124/5822/57647/10556/1454/6229/55127/6137/79159/6169/90459/6204/6129/55226/6227/6181/6194/6132/6202/56915/5393/6222/3921/6157/54931/6230/6139/9136/54512/81875/23404/79707/114049/84128/9188/7311/3028/4809/6167/55505/11340/6125/6156/92856/26168/9277/6170/4839/6165/6142/10436/10528/200916/10813/25879/6224/10171/8780/10200/6206/22984/54555/10969/27341/6217/6223/55759/55813/10885/23481/28987/116832/54433/54913/56902/6233/9790/4691/10557/10199/23246/88745/8568/55131/10799/23160/2091/6201/51602/84916/54881/84946/705/51388/1736/51118/83732,2,SNF_C1
R-HSA-69206,G1/S Transition,130,-0.5247687584177732,-2.250292555523827,1e-10,1.2084615384615384e-8,8.866396761133604e-9,5341,"tags=55%, list=26%, signal=41%",5427/5707/55957/5689/5695/5710/10000/5719/5717/23595/84515/23649/6118/5714/5693/1017/5686/7311/5702/5696/54107/5699/6117/4609/5685/5704/5688/5111/7083/891/5701/1875/5933/4171/6241/1869/983/10213/8454/5713/5708/1019/51053/286826/6233/5698/4173/7979/7298/5692/26271/8317/1874/5558/890/81620/8318/23594/10926/55388/4172/993/7027/1163/4175/8900/4176/4998/4174/5690/898/6502,2,SNF_C1
R-HSA-69620,Cell Cycle Checkpoints,276,-0.47637527338533747,-2.228913798609794,1e-10,1.2084615384615384e-8,8.866396761133604e-9,5858,"tags=51%, list=29%, signal=37%",23332/79980/990/5721/7532/5694/55166/9134/29086/79682/7534/22919/5707/9793/79023/3364/995/64946/5689/7336/5695/5710/8970/9088/5719/57082/5717/23595/81565/84515/6118/80152/11130/5714/11073/5693/7514/116028/1017/5686/7311/64326/5702/5696/7533/5699/79902/5528/6117/55055/5685/5704/79019/57405/5688/151246/701/3014/1062/891/5701/9656/23279/5905/83695/4171/54821/983/10213/1763/5983/165918/5713/4085/2491/8379/5708/1063/81930/7321/147841/9183/641/57060/27338/6396/83540/54908/81929/6233/151648/332/2810/5698/4173/7979/11065/10971/5692/63967/91687/8317/3619/220134/9156/890/79172/1780/8318/5982/55920/699/51512/23594/9133/10926/5347/11200/55388/4172/993/4175/9025/10403/55839/8900/9212/23198/11004/4176/1111/4998/4174/5984/5690/55143/898/1058/991/1029,2,SNF_C1
