term,estimate,std.error,statistic,p.value,conf.low,conf.high,k,cut_point_years,n
assigned_SNF_clusterSNF_C2,1.5856557246000962,0.09025934095280441,5.107482763359737,3.264788679978403e-7,1.3285564417178402,1.8925082879475028,2,10,1937
period>10y,NA,0,NA,NA,NA,NA,2,10,1937
age_covariate,1.0410508871698096,0.0027468719864347717,14.645994281820023,1.4289547315506688e-48,1.035461168845575,1.0466707804072948,2,10,1937
er_covariatePositive,0.7056859159503865,0.09615977620396789,-3.6250606282031397,2.888936694202187e-4,0.5844671410438075,0.8520455248884728,2,10,1937
assigned_SNF_clusterSNF_C2:period>10y,0.36650507695265594,0.1454783861783393,-6.899601594354951,5.214858289126876e-12,0.27558055357396727,0.48742906453309837,2,10,1937
assigned_SNF_clusterSNF_C2,0.7660215405840062,0.0962711581410807,-2.7686899577906026,0.0056282165689941835,0.6343001641985515,0.9250967188067997,3,10,1937
assigned_SNF_clusterSNF_C3,1.4743519533061695,0.10789071298515002,3.59825724397959,3.203566752729496e-4,1.1933406318959219,1.8215366376691846,3,10,1937
period>10y,NA,0,NA,NA,NA,NA,3,10,1937
age_covariate,1.039875143518851,0.002784055513286912,14.0444942461746,8.326065424734487e-45,1.034216363366371,1.0455648860443392,3,10,1937
er_covariatePositive,0.7033959117588138,0.10490166739374872,-3.3539540391937965,7.966559412184139e-4,0.5726738846158038,0.863957344607991,3,10,1937
assigned_SNF_clusterSNF_C2:period>10y,1.1980653392230423,0.15036163533982,1.201822779132093,0.22943219791840244,0.8922621035855961,1.6086759162801614,3,10,1937
assigned_SNF_clusterSNF_C3:period>10y,0.3239519047001168,0.17284082294382777,-6.521377283990162,6.966470545992841e-11,0.23086503471330252,0.4545722425622324,3,10,1937
