k,endpoint,view,label,n_boot_valid,point_estimate,ci90_lower,ci90_upper,ci95_lower,ci95_upper,sesoi,p_tost,p_two_sided,equivalent,superior,conclusion,mdd_80pct_power,p_two_sided_BH,p_tost_BH,superior_after_BH,equivalent_after_BH
2,cindex_adjusted,collectri__consensus,cindex_adjusted:collectri__consensus,1000,1.746929718826531e-4,-6.790013042318687e-4,0.0011524885145816446,-0.0010421187460683988,0.0013659915050451101,0.02,0,0.754,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0016758704145325703,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri__norm_wsum,cindex_adjusted:collectri__norm_wsum,1000,1.746929718826531e-4,-6.790013042318687e-4,0.0011524885145816446,-0.0010421187460683988,0.0013659915050451101,0.02,0,0.754,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0016758704145325703,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri__ulm,cindex_adjusted:collectri__ulm,1000,4.821894139573094e-4,-5.273445632031748e-4,0.0017036263140450592,-7.6980709688996e-4,0.002066224534984166,0.02,0,0.426,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0020105689235113537,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri__viper,cindex_adjusted:collectri__viper,1000,3.5080998271434994e-4,-7.213900663818607e-4,0.0015262372466048107,-9.530189167041041e-4,0.001949881423134794,0.02,0,0.588,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0020029881401472938,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri_edgeperm__consensus,cindex_adjusted:collectri_edgeperm__consensus,1000,-2.851953511973787e-4,-0.0014987545228965558,6.874812422095085e-4,-0.001901797843962813,9.132945954791018e-4,0.02,0,0.62,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.001864673068787902,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri_edgeperm__mlm,cindex_adjusted:collectri_edgeperm__mlm,1000,-6.732581863788511e-4,-0.002213206275386764,3.2327156065986535e-4,-0.0025485076259846337,5.357749442010917e-4,0.02,0,0.334,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0022182096537478697,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri_edgeperm__norm_wsum,cindex_adjusted:collectri_edgeperm__norm_wsum,1000,-1.65174820471232e-4,-0.0010929796423454706,6.241757540094038e-4,-0.001340763696457195,8.849156805047608e-4,0.02,0,0.74,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0014389026144941137,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri_edgeperm__ulm,cindex_adjusted:collectri_edgeperm__ulm,1000,-1.65174820471232e-4,-0.0010929796423454706,6.241757540094038e-4,-0.001340763696457195,8.849156805047608e-4,0.02,0,0.74,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0014389026144941137,0.87464,0,FALSE,TRUE
2,cindex_adjusted,collectri_edgeperm__viper,cindex_adjusted:collectri_edgeperm__viper,1000,-1.8166752733840452e-4,-0.0010610468757204171,6.293573736959324e-4,-0.0013871548026430924,8.316261567689054e-4,0.02,0,0.724,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0014541973455061718,0.87464,0,FALSE,TRUE
2,cindex_adjusted,dorothea_AB__consensus,cindex_adjusted:dorothea_AB__consensus,1000,2.7962001031219306e-4,-0.0012954785812820003,0.0018709803033224945,-0.0015743969457878287,0.002348049059985194,0.02,0,0.714,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0025796083924454,0.87464,0,FALSE,TRUE
