view,k,cindex_adjusted,cindex_cluster_only,lrt_over_age_er
expression_only,2,0.6073705966196763,0.5461211905134091,4.6403230347114
expression_only,3,0.6098193253983227,0.5686853021600407,10.533263660296143
dorothea_AC__viper,2,0.6070075225256096,0.5465212265513043,4.149924345761974
dorothea_AC__viper,3,0.6097677326850619,0.5697237017694761,10.363001451705713
dorothea_AB__viper,2,0.6077540767868982,0.547715944381515,5.505342463031411
dorothea_AB__viper,3,0.6092263942160718,0.5686930025650049,9.433059529248567
collectri__viper,2,0.6077113395393463,0.5477344253534293,5.084579220885644
collectri__viper,3,0.6088945067621105,0.5667571207569806,7.858966819241687
dorothea_AC_edgeperm__viper,2,0.6080732585726684,0.548455953298584,5.881352406411679
dorothea_AC_edgeperm__viper,3,0.6091463100044432,0.5334124421603332,9.143029681914413
dorothea_AB_edgeperm__viper,2,0.6081518027033042,0.5485248719230145,5.646088483275889
dorothea_AB_edgeperm__viper,3,0.6074622314387513,0.5587236732779777,3.8709868457935954
collectri_edgeperm__viper,2,0.6072061929736885,0.545038513575429,4.015631366679372
collectri_edgeperm__viper,3,0.608033216466854,0.5626370190808334,4.849213167781272
dorothea_AC__ulm,2,0.6068681451957558,0.546289444361879,3.766412400369518
dorothea_AC__ulm,3,0.6096660873395332,0.5693175054076094,10.081692787834982
dorothea_AB__ulm,2,0.6075865929789248,0.5475207391156701,4.90585823805668
dorothea_AB__ulm,3,0.6094085087934775,0.5692066195761235,9.241403470219666
collectri__ulm,2,0.6078122148443786,0.5480243456003351,5.284921246449812
collectri__ulm,3,0.6090130929985608,0.5668171839157021,7.440672551285388
dorothea_AC_edgeperm__ulm,2,0.6079916342800468,0.5481487071405085,5.718971627415158
dorothea_AC_edgeperm__ulm,3,0.6092186938111075,0.5678990908131858,9.480548845307567
dorothea_AB_edgeperm__ulm,2,0.6080459221350452,0.548506005930852,5.459001797924429
dorothea_AB_edgeperm__ulm,3,0.607137274349258,0.558249328332177,3.2060395680782676
collectri_edgeperm__ulm,2,0.6072285241480849,0.5455155536629671,3.9883846121483657
collectri_edgeperm__ulm,3,0.6078534120109377,0.5613860882943834,4.666086371671554
dorothea_AC__mlm,2,0.6069555447921007,0.5444467374539227,3.8014413060027437
dorothea_AC__mlm,3,0.6097080545465886,0.5689478859693231,10.354391013714121
dorothea_AB__mlm,2,0.6068076970167862,0.5437078835975984,3.624604090799039
dorothea_AB__mlm,3,0.60945971648649,0.5362843081917679,10.785090063794996
dorothea_AC_edgeperm__mlm,2,0.6071977225282278,0.5454447099372957,4.125532192119863
dorothea_AC_edgeperm__mlm,3,0.6103756796569931,0.5398318847588195,13.291912213402611
dorothea_AB_edgeperm__mlm,2,0.6073428751618047,0.5468746751391655,4.3476561994411895
dorothea_AB_edgeperm__mlm,3,0.6092148436086253,0.5668510656975451,8.259198041254422
collectri_edgeperm__mlm,2,0.6067114419547324,0.5441410313768401,3.3861170581385522
collectri_edgeperm__mlm,3,0.6102001104238072,0.5357425847025294,11.104643199021666
dorothea_AC__norm_wsum,2,0.6070229233355382,0.5468053714944869,4.145711719766041
dorothea_AC__norm_wsum,3,0.6096660873395332,0.5693175054076094,10.081692787834982
dorothea_AB__norm_wsum,2,0.6075434707111247,0.5475542358772647,4.979528978676171
dorothea_AB__norm_wsum,3,0.6094254496843989,0.5695716187714313,9.780441591021372
collectri__norm_wsum,2,0.6075642618045283,0.5473101330398966,4.912993046187694
collectri__norm_wsum,3,0.608391670317942,0.565476543411418,6.562023886612224
dorothea_AC_edgeperm__norm_wsum,2,0.6076905484459427,0.5473690411378734,5.18166317311443
dorothea_AC_edgeperm__norm_wsum,3,0.6092976229619915,0.5336384490460353,9.865416089047358
dorothea_AB_edgeperm__norm_wsum,2,0.6081760589789417,0.5485140913560644,5.55520079647431
dorothea_AB_edgeperm__norm_wsum,3,0.6068273330494451,0.5576375311577636,2.563369870904353
collectri_edgeperm__norm_wsum,2,0.6072285241480849,0.5455155536629671,3.9883846121483657
collectri_edgeperm__norm_wsum,3,0.6076628269880713,0.5609691113655667,4.254309548443416
dorothea_AC__consensus,2,0.6072731864968779,0.5466459731117259,4.498395533360963
dorothea_AC__consensus,3,0.6099767986798426,0.5702642701979697,10.994155240947293
dorothea_AB__consensus,2,0.6076539715223623,0.5476135289954899,4.979931084075361
dorothea_AB__consensus,3,0.6096160347072652,0.5692574422488879,10.389418576054595
collectri__consensus,2,0.6075642618045283,0.5473101330398966,4.912993046187694
collectri__consensus,3,0.6089853715406893,0.5666435397837573,7.329511439320413
dorothea_AC_edgeperm__consensus,2,0.6080732585726684,0.548455953298584,5.881352406411679
dorothea_AC_edgeperm__consensus,3,0.6093492156752524,0.5677404624709214,10.011231478243644
dorothea_AB_edgeperm__consensus,2,0.6081518027033042,0.5485248719230145,5.646088483275889
dorothea_AB_edgeperm__consensus,3,0.6085429832754905,0.5635745433852366,5.6027958780887275
collectri_edgeperm__consensus,2,0.607099542364933,0.5450666200535486,3.892405688722647
collectri_edgeperm__consensus,3,0.6085006310481869,0.5640177016909319,6.105450395845764
