k,endpoint,label,n_boot_valid,point_estimate,ci90_lower,ci90_upper,ci95_lower,ci95_upper,sesoi,p_tost,p_two_sided,equivalent,superior,conclusion,view,mdd_80pct_power,boot_sd,p_two_sided_BH,p_tost_BH,superior_after_BH,equivalent_after_BH
2,cindex_adjusted_discovery_only,cindex_adjusted_discovery_only dorothea_AC__viper k2,100,9.819171390223813e-5,-0.0011255104405940963,0.0014595540079452736,-0.001258842952550862,0.0016758006303551694,0.02,0,0.92,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,dorothea_AC__viper,0.0024780742538192298,8.845257455664183e-4,0.92,0,FALSE,TRUE
2,cindex_adjusted_discovery_only,cindex_adjusted_discovery_only collectri__viper k2,100,-2.364755862510737e-4,-0.0011406417363489906,9.245876240632165e-4,-0.0012669380032696049,0.0010055862587814183,0.02,0,0.66,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,collectri__viper,0.0020694051161554068,7.386550667015842e-4,0.92,0,FALSE,TRUE
2,cindex_adjusted_full_nested,cindex_adjusted_full_nested dorothea_AC__viper k2,100,1.3755037050452445e-4,-0.0015856388635125116,0.002226760098189367,-0.0019066775857077057,0.002576745649377205,0.02,0,0.96,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,dorothea_AC__viper,0.003442576415928113,0.0012287958951492791,0.96,0,FALSE,TRUE
2,cindex_adjusted_full_nested,cindex_adjusted_full_nested collectri__viper k2,100,-2.099647699960705e-4,-0.0020585955088003095,0.0014743461210830365,-0.0022611714035999098,0.0016275852063411575,0.02,0,0.82,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,collectri__viper,0.00288976661120208,0.001031475534821856,0.96,0,FALSE,TRUE
2,cindex_cluster_only_full_nested,cindex_cluster_only_full_nested dorothea_AC__viper k2,100,0.0015063960725371318,-0.003558086184936321,0.006665198756483175,-0.003996568347077373,0.007470068614236994,0.02,0,0.7,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,dorothea_AC__viper,0.00921786797148587,0.003290232940940003,0.94,0,FALSE,TRUE
2,cindex_cluster_only_full_nested,cindex_cluster_only_full_nested collectri__viper k2,100,1.6350711427201015e-5,-0.003987986320953552,0.003998506021657104,-0.004656643752268494,0.005774330740802077,0.02,0,0.94,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,collectri__viper,0.007594194132657955,0.002710677541971431,0.94,0,FALSE,TRUE
3,cindex_adjusted_discovery_only,cindex_adjusted_discovery_only dorothea_AC__viper k3,100,7.327281841752131e-4,-0.0012548579929818006,0.003066936540192682,-0.0013223616680001077,0.0036753070343969337,0.02,0,0.76,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,dorothea_AC__viper,0.004028054577269662,0.0014377769240168942,0.84,0,FALSE,TRUE
3,cindex_adjusted_discovery_only,cindex_adjusted_discovery_only collectri__viper k3,100,-2.3291799915757473e-4,-0.002136034584058777,0.002255833634290788,-0.002221874848398281,0.002486287503859774,0.02,0,0.84,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,collectri__viper,0.0036432497355357845,0.0013004243854447973,0.84,0,FALSE,TRUE
3,cindex_adjusted_full_nested,cindex_adjusted_full_nested dorothea_AC__viper k3,100,4.200992619452326e-4,-0.004140136910546333,0.005025761671422701,-0.004638602505877776,0.006070968408548138,0.02,0,0.94,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,dorothea_AC__viper,0.0074165588034015035,0.002647272249814693,0.94,0,FALSE,TRUE
3,cindex_adjusted_full_nested,cindex_adjusted_full_nested collectri__viper k3,100,-3.403163911596163e-4,-0.0038140775782366685,0.0033577103343321,-0.004705360253542884,0.004815758214267384,0.02,0,0.86,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,collectri__viper,0.0065461830720653655,0.002336599661414049,0.94,0,FALSE,TRUE
3,cindex_cluster_only_full_nested,cindex_cluster_only_full_nested dorothea_AC__viper k3,100,0.005588483870663873,-0.021855759637950077,0.03233850016253325,-0.028323973826545307,0.04014094631135286,0.02,0.17,0.64,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",dorothea_AC__viper,0.042504308901047755,0.015171520975427226,0.94,0.17,FALSE,FALSE
3,cindex_cluster_only_full_nested,cindex_cluster_only_full_nested collectri__viper k3,100,0.0013551987441151247,-0.025274983603987465,0.027394934690189818,-0.031932888838838255,0.03491205940321789,0.02,0.11,0.94,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",collectri__viper,0.04090138484189821,0.014599372018905673,0.94,0.17,FALSE,FALSE
