view_a,view_b,n_shared_TFs,median_per_TF_spearman
dorothea_AC__viper,dorothea_AC_edgeperm__viper,261,0.24258478174120432
dorothea_AB__viper,dorothea_AB_edgeperm__viper,108,0.21357333188070587
collectri__viper,collectri_edgeperm__viper,535,0.2751601622287497
dorothea_AC__ulm,dorothea_AC_edgeperm__ulm,261,0.24062626644099758
dorothea_AB__ulm,dorothea_AB_edgeperm__ulm,108,0.20902933472649077
collectri__ulm,collectri_edgeperm__ulm,535,0.2882676540389837
dorothea_AC__mlm,dorothea_AC_edgeperm__mlm,261,0.015374577715902999
dorothea_AB__mlm,dorothea_AB_edgeperm__mlm,108,0.05791531450145662
dorothea_AC__norm_wsum,dorothea_AC_edgeperm__norm_wsum,261,0.2482763332441893
dorothea_AB__norm_wsum,dorothea_AB_edgeperm__norm_wsum,108,0.2112238182031888
collectri__norm_wsum,collectri_edgeperm__norm_wsum,535,0.2923936582575746
dorothea_AC__consensus,dorothea_AC_edgeperm__consensus,261,0.17688659836027368
dorothea_AB__consensus,dorothea_AB_edgeperm__consensus,108,0.1655271630058201
collectri__consensus,collectri_edgeperm__consensus,535,0.23875352007476017
