term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,k,n
SNF_clusterSNF_C2,0.9883666143133955,0.18367767465819088,-0.06370715965127942,0.9492034037529018,0.6895588663073443,1.4166572456976032,univariable,2,1080
droplevels(SNF_cluster)SNF_C2,1.4059675068593254,0.19259500120677228,1.769130458447071,0.07687210600877184,0.963913630610173,2.0507487056624725,multivariable_age_stage,2,1055
age_years,1.0383036355480197,0.0067804011075366126,5.543663445238165,2.962079188166685e-8,1.0245965443060865,1.0521941007739457,multivariable_age_stage,2,1055
stage_simpleStage II,1.8522522181869752,0.28147460090816395,2.1899038559380166,0.028531210282194762,1.066862644558081,3.2158200470124267,multivariable_age_stage,2,1055
stage_simpleStage III,3.877924016169525,0.296248694514204,4.574872356111888,4.7651041519284945e-6,2.1698611760868705,6.930533087054192,multivariable_age_stage,2,1055
stage_simpleStage IV,11.54049749911945,0.36746404786533304,6.656058967404885,2.8126744539575046e-11,5.6161482915397025,23.714310166598057,multivariable_age_stage,2,1055
SNF_clusterSNF_C2,0.7669989086327463,0.19460419919087887,-1.3631252646277805,0.17284303562213607,0.5237781185729332,1.1231613253464086,univariable,3,1080
SNF_clusterSNF_C3,0.840669054794566,0.20346998141793804,-0.8529868099711699,0.39366661879318676,0.5641974241651493,1.252619082291875,univariable,3,1080
droplevels(SNF_cluster)SNF_C2,0.9774084380733251,0.20905076732629338,-0.10930675496835318,0.9129591890112966,0.6488312341660234,1.4723817296571255,multivariable_age_stage,3,1055
droplevels(SNF_cluster)SNF_C3,1.2871583159488371,0.21538341639712488,1.1720351403401226,0.2411829480983511,0.8439122100357304,1.9632095739509448,multivariable_age_stage,3,1055
age_years,1.037803837859578,0.006847049935862258,5.419382999202724,5.980507370504226e-8,1.0239695754921412,1.0518250069670505,multivariable_age_stage,3,1055
stage_simpleStage II,1.8520427500212362,0.28213870943744435,2.1843483311850664,0.028936661838946113,1.0653543959746528,3.2196444308733407,multivariable_age_stage,3,1055
stage_simpleStage III,3.8243767637497017,0.2961824298552374,4.528950340087947,5.927742755416684e-6,2.1401771822516995,6.833947092044335,multivariable_age_stage,3,1055
stage_simpleStage IV,11.368026750284168,0.3724476286564644,6.526567916896438,6.729381043062327e-11,5.47844228297038,23.589192971310734,multivariable_age_stage,3,1055
