term,chisq,df,p,model,k
SNF_cluster,6.35405554695828,1,0.011711327111957541,univariable,2
GLOBAL,6.35405554695828,1,0.011711327111957541,univariable,2
droplevels(SNF_cluster),3.775392785990627,1,0.052011687887397774,multivariable_age_stage,2
age_years,0.122615261481168,1,0.7262151566678394,multivariable_age_stage,2
stage_simple,11.44373317812651,3,0.009553215456956358,multivariable_age_stage,2
GLOBAL,18.89586619930725,5,0.0020098906008021015,multivariable_age_stage,2
SNF_cluster,9.8188501282403209,2,0.007376728258159642,univariable,3
GLOBAL,9.8188501282403209,2,0.007376728258159642,univariable,3
droplevels(SNF_cluster),4.848722081533573,2,0.0885346710184663,multivariable_age_stage,3
age_years,0.09788305502696383,1,0.7543849940510335,multivariable_age_stage,3
stage_simple,11.612887620559786,3,0.008834028975772623,multivariable_age_stage,3
GLOBAL,19.47315691918787,6,0.0034348735748605426,multivariable_age_stage,3
