tf,spearman_cor_AC_vs_AB,low_robustness
AR,1,FALSE
ATF1,1,FALSE
ATF2,1,FALSE
ATF4,1,FALSE
ATF6,1,FALSE
BACH1,1,FALSE
CDX2,1,FALSE
CEBPA,1,FALSE
CEBPB,1,FALSE
CEBPD,1,FALSE
CREB1,1,FALSE
CTCF,1,FALSE
E2F1,1,FALSE
E2F2,1,FALSE
E2F3,1,FALSE
E2F4,1,FALSE
EGR1,1,FALSE
ELK1,1,FALSE
EPAS1,1,FALSE
ERG,1,FALSE
ESR1,1,FALSE
ESR2,1,FALSE
ETS1,1,FALSE
ETS2,1,FALSE
ETV4,1,FALSE
FLI1,1,FALSE
FOS,1,FALSE
FOSL1,1,FALSE
FOSL2,1,FALSE
FOXA1,1,FALSE
FOXL2,1,FALSE
FOXM1,1,FALSE
FOXO1,1,FALSE
FOXO3,1,FALSE
FOXO4,1,FALSE
FOXP1,0.98392649766102,FALSE
GATA1,1,FALSE
GATA2,1,FALSE
GATA3,1,FALSE
GLI2,1,FALSE
HIF1A,1,FALSE
HNF1A,1,FALSE
HNF4A,1,FALSE
HSF1,1,FALSE
IRF1,1,FALSE
IRF9,1,FALSE
JUN,1,FALSE
JUND,1,FALSE
KLF4,1,FALSE
KMT2A,1,FALSE
LEF1,1,FALSE
MITF,1,FALSE
MYB,1,FALSE
MYC,1,FALSE
MYCN,1,FALSE
NFE2L2,1,FALSE
NFIC,1,FALSE
NFKB1,1,FALSE
NFKB2,1,FALSE
NFYA,1,FALSE
NR2F2,1,FALSE
NR3C1,1,FALSE
PAX6,1,FALSE
PAX8,1,FALSE
PGR,1,FALSE
POU2F1,1,FALSE
PPARA,1,FALSE
PPARG,1,FALSE
PRDM14,0.9969148880358765,FALSE
RARA,1,FALSE
REL,1,FALSE
RELA,1,FALSE
RELB,1,FALSE
REST,1,FALSE
RFX5,1,FALSE
RUNX1,1,FALSE
RUNX3,1,FALSE
RXRA,1,FALSE
SMAD3,1,FALSE
SMAD4,1,FALSE
SOX10,1,FALSE
SOX9,1,FALSE
SP1,1,FALSE
SP3,1,FALSE
SPI1,1,FALSE
SREBF1,1,FALSE
SREBF2,1,FALSE
SRF,1,FALSE
STAT1,0.9998593285095622,FALSE
STAT2,1,FALSE
STAT3,1,FALSE
STAT4,1,FALSE
STAT5A,1,FALSE
STAT5B,1,FALSE
TAL1,1,FALSE
TCF3,1,FALSE
TCF7L2,1,FALSE
TFAP2A,1,FALSE
TFAP2C,1,FALSE
TFDP1,1,FALSE
TP53,1,FALSE
TP63,1,FALSE
TWIST1,1,FALSE
USF1,1,FALSE
USF2,1,FALSE
VDR,1,FALSE
WT1,1,FALSE
YY1,1,FALSE
ZBTB33,1,FALSE
ZEB1,1,FALSE
ZNF263,0.990195514269414,FALSE
