view,is_permuted,n_tf,median_cv_r2,q25_cv_r2,q75_cv_r2,frac_above_50,frac_above_80,median_cv_r2_50pc
dorothea_AC__viper,FALSE,263,0.7215954510966502,0.6339508427741825,0.7929877830742175,0.9543726235741445,0.22813688212927757,0.6683358456851823
dorothea_AB__viper,FALSE,111,0.6991486670310809,0.6002533210644517,0.7668132117930413,0.9099099099099099,0.18018018018018017,0.6505938776762729
collectri__viper,FALSE,552,0.605437653745246,0.5205656990209678,0.7130966351183223,0.8079710144927537,0.07971014492753623,0.5754528528489724
dorothea_AC_edgeperm__viper,TRUE,268,0.6234555169868219,0.5550467153524519,0.6931567772247335,0.8694029850746269,0.007462686567164179,0.5840179068614053
dorothea_AB_edgeperm__viper,TRUE,112,0.6353388577247523,0.5608870611857929,0.7070277567398874,0.8392857142857143,0.026785714285714284,0.582348497785453
collectri_edgeperm__viper,TRUE,558,0.607599235991948,0.5331273421167044,0.6966925666181945,0.8207885304659498,0.023297491039426525,0.5789805727871745
dorothea_AC__ulm,FALSE,263,0.7413799101942596,0.6514326724486121,0.8147745450960338,0.9543726235741445,0.30038022813688214,0.6811083271561514
dorothea_AB__ulm,FALSE,111,0.7350740286739273,0.6153131541875809,0.8155659950628789,0.9099099099099099,0.2882882882882883,0.6646297494535
collectri__ulm,FALSE,552,0.6654162171584357,0.56579917364754,0.775039492858748,0.8605072463768116,0.21195652173913043,0.6111905536777158
dorothea_AC_edgeperm__ulm,TRUE,268,0.6299969611913931,0.5518599246801716,0.6931646883892968,0.8656716417910447,0.007462686567164179,0.5797568945823612
dorothea_AB_edgeperm__ulm,TRUE,112,0.629471536006375,0.5690336255149052,0.7179514536315614,0.8392857142857143,0.0625,0.580924681850044
collectri_edgeperm__ulm,TRUE,558,0.6597848850751074,0.5745241637317415,0.7554063910627424,0.8835125448028673,0.15949820788530467,0.6182190299820158
dorothea_AC__mlm,FALSE,263,0.6039087989035705,0.5136092787318133,0.6894788918944355,0.779467680608365,0.06844106463878327,0.5512948257223729
dorothea_AB__mlm,FALSE,111,0.6067383296452507,0.5196911182822477,0.7161126453872755,0.7657657657657657,0.09009009009009009,0.5671859774172099
dorothea_AC_edgeperm__mlm,TRUE,268,0.5284375694497839,0.4546280016816885,0.587871692649157,0.6380597014925373,0,0.4826362471408277
dorothea_AB_edgeperm__mlm,TRUE,112,0.5545540754561363,0.4756843818409286,0.6212538560172036,0.6607142857142857,0,0.49681473532449993
collectri_edgeperm__mlm,TRUE,558,0.5347038512984355,0.4552679278786832,0.5978132468269084,0.6200716845878136,0.0035842293906810036,0.48628380461202453
dorothea_AC__norm_wsum,FALSE,263,0.7352408617360932,0.6442020778837408,0.8075189028080447,0.9505703422053232,0.27756653992395436,0.6763987723162125
dorothea_AB__norm_wsum,FALSE,111,0.7304544320332608,0.6056818908764383,0.8142905873067987,0.9009009009009009,0.2702702702702703,0.6600309069980704
collectri__norm_wsum,FALSE,552,0.6584426550996727,0.552694994272727,0.7711501764422399,0.8532608695652174,0.20833333333333334,0.6101994086859943
dorothea_AC_edgeperm__norm_wsum,TRUE,268,0.6195725337425989,0.5444613764527646,0.6859074713418708,0.8656716417910447,0.007462686567164179,0.5716454833355535
dorothea_AB_edgeperm__norm_wsum,TRUE,112,0.6339461459995006,0.5555809048675235,0.7145132318331131,0.8214285714285714,0.0625,0.5808840786874173
collectri_edgeperm__norm_wsum,TRUE,558,0.660356449066686,0.5725104447046941,0.7518979593254752,0.8763440860215054,0.14695340501792115,0.6186599701491201
dorothea_AC__consensus,FALSE,263,0.6921993236520936,0.6082222916994581,0.7745266815598724,0.935361216730038,0.17110266159695817,0.6420753943119949
dorothea_AB__consensus,FALSE,111,0.6887173675270685,0.5838605476736578,0.7819018351585139,0.8918918918918919,0.21621621621621623,0.6330958030950846
collectri__consensus,FALSE,552,0.6586928229908324,0.5612378508154484,0.7659188278066303,0.8659420289855072,0.19202898550724637,0.6078135969137675
dorothea_AC_edgeperm__consensus,TRUE,268,0.594593268542474,0.5251736900192767,0.6505711144000491,0.8059701492537313,0.0037313432835820895,0.5431304163206794
dorothea_AB_edgeperm__consensus,TRUE,112,0.6091541866510917,0.5353266777980381,0.6902326041560886,0.8303571428571429,0.017857142857142856,0.5613357404330477
collectri_edgeperm__consensus,TRUE,558,0.6123816874945971,0.533906983600381,0.6924077061460516,0.8297491039426523,0.044802867383512544,0.5676778073152053
dorothea_AC__viper__SHUFFLED_CONTROL,NA,263,-0.3105996040698715,-0.3342194773365471,-0.2904776608648727,0,0,NA
