source,n_targets
AHR,42
AR,133
ARID2,30
ARID3A,25
ARNT,62
ASCL1,52
ATF1,18
ATF2,19
ATF3,50
ATF4,15
ATF6,10
ATF7,27
BACH1,29
BACH2,50
BATF,49
BCL11A,36
BCL6,46
BHLHE22,21
BHLHE40,58
CDX2,14
CEBPA,135
CEBPB,35
CEBPD,14
CEBPG,45
CLOCK,52
CREB1,67
CREB3,25
CREB3L1,21
CREM,51
CTCF,109
CTCFL,52
CUX1,40
DUX4,35
E2F1,318
E2F2,14
E2F3,13
E2F4,237
E2F5,13
E2F6,68
E2F7,30
EBF1,74
EGR1,122
EHF,20
ELF1,51
ELF3,52
ELF5,20
ELK1,29
ELK4,14
EOMES,22
EPAS1,13
ERG,12
ESR1,149
ESR2,16
ESRRA,68
ETS1,135
ETS2,28
ETV1,29
ETV4,15
FLI1,12
FOS,88
FOSL1,11
FOSL2,10
FOXA1,26
FOXJ2,36
FOXK2,51
FOXL2,20
FOXM1,31
FOXO1,39
FOXO3,36
FOXO4,12
FOXP1,172
FOXP2,36
GABPA,54
GATA1,11
GATA2,38
GATA3,66
GATA6,52
GFI1B,29
GLI2,14
GRHL2,78
HBP1,38
HHEX,10
HIF1A,145
HINFP,16
HMBOX1,27
HNF1A,12
HNF1B,37
HNF4A,67
HNF4G,52
HOXA9,22
HOXB13,43
HSF1,12
IKZF1,40
IRF1,27
IRF2,75
IRF3,71
IRF4,67
IRF9,12
JUN,116
JUNB,52
JUND,18
KDM5B,17
KLF1,50
KLF13,31
KLF3,13
KLF4,11
KLF5,81
KLF6,51
KLF9,67
KMT2A,11
LEF1,20
LHX2,10
LYL1,83
MAF,37
MAFB,53
MAFF,42
MAFG,37
MAFK,50
MAX,55
MAZ,72
MBD1,44
MBD2,29
MEF2A,101
MEF2B,36
MEF2C,72
MEIS1,53
MEIS2,62
MITF,33
MNT,55
MXI1,76
MYB,24
MYBL2,26
MYC,377
MYCN,13
MYOD1,46
NANOG,48
NCOA1,20
NCOA2,18
NCOA3,22
NEUROD1,34
NFATC1,32
NFE2,48
NFE2L1,30
NFE2L2,11
NFIC,26
NFKB1,155
NFKB2,18
NFYA,10
NFYB,75
NR1H2,13
NR1H3,11
NR2C2,88
NR2F1,65
NR2F2,12
NR2F6,31
NR3C1,10
NR4A1,40
NR5A2,29
NRF1,77
ONECUT1,52
OTX2,21
PAX5,55
PAX6,11
PAX8,11
PBX2,46
PBX3,52
PDX1,50
PGR,11
PKNOX1,36
POU2F1,27
POU4F2,28
POU5F1,69
PPARA,27
PPARG,41
PRDM1,41
PRDM14,192
PROX1,25
RARA,37
RBPJ,61
REL,17
RELA,135
RELB,13
REST,10
RFX1,40
RFX2,20
RFX5,14
RUNX1,19
RUNX2,65
RUNX3,12
RXRA,11
SIX2,39
SIX5,25
SMAD1,17
SMAD3,31
SMAD4,24
SMAD5,11
SNAI2,65
SNAPC4,30
SOX10,15
SOX11,29
SOX13,42
SOX6,32
SOX9,13
SP1,295
SP2,21
SP3,68
SP4,59
SPI1,97
SPIB,61
SREBF1,22
SREBF2,16
SRF,10
STAT1,284
STAT2,39
STAT3,73
STAT4,10
STAT5A,20
STAT5B,16
TAL1,18
TBP,42
TBX21,75
TCF12,76
TCF3,15
TCF4,61
TCF7,61
TCF7L2,20
TEAD1,127
TEAD2,30
TEAD4,73
TFAP2A,58
TFAP2C,15
TFAP4,40
TFDP1,12
TGIF2,18
THAP1,55
THAP11,113
TP53,240
TP63,18
TP73,42
TWIST1,15
USF1,52
USF2,33
VDR,22
WT1,30
XBP1,16
YY1,69
ZBED1,22
ZBTB11,22
ZBTB33,12
ZBTB7A,89
ZEB1,15
ZEB2,53
ZFX,54
ZKSCAN1,47
ZNF143,51
ZNF217,11
ZNF24,20
ZNF263,309
ZNF274,18
ZNF384,65
ZNF592,14
ZNF639,29
ZNF740,38
