view_a,view_b,n_shared_TFs,median_per_TF_spearman
dorothea_AC__viper,dorothea_AB__viper,111,1
dorothea_AC__viper,collectri__viper,220,0.42968973669360666
dorothea_AC__viper,dorothea_AC_edgeperm__viper,261,0.24258478174120432
dorothea_AC__viper,dorothea_AB_edgeperm__viper,108,0.21357333188070587
dorothea_AC__viper,collectri_edgeperm__viper,217,0.2145025259814055
dorothea_AC__viper,dorothea_AC__ulm,263,0.9968315142891561
dorothea_AC__viper,dorothea_AB__ulm,111,0.9953450724397396
dorothea_AC__viper,collectri__ulm,220,0.4513403824151406
dorothea_AC__viper,dorothea_AC_edgeperm__ulm,261,0.24114636982371235
dorothea_AC__viper,dorothea_AB_edgeperm__ulm,108,0.2051537442233839
dorothea_AC__viper,collectri_edgeperm__ulm,217,0.21881489181977598
dorothea_AC__viper,dorothea_AC__mlm,263,0.8342328929812686
dorothea_AC__viper,dorothea_AB__mlm,111,0.8673232311138173
dorothea_AC__viper,dorothea_AC_edgeperm__mlm,261,0.05035008382159956
dorothea_AC__viper,dorothea_AB_edgeperm__mlm,108,0.09675925460470405
dorothea_AC__viper,collectri_edgeperm__mlm,217,0.01049143714513375
dorothea_AC__viper,dorothea_AC__norm_wsum,263,0.9932386468848545
dorothea_AC__viper,dorothea_AB__norm_wsum,111,0.9904705964504098
dorothea_AC__viper,collectri__norm_wsum,220,0.4465698905429384
dorothea_AC__viper,dorothea_AC_edgeperm__norm_wsum,261,0.2383416137362498
dorothea_AC__viper,dorothea_AB_edgeperm__norm_wsum,108,0.20910675385843497
dorothea_AC__viper,collectri_edgeperm__norm_wsum,217,0.23142391428133238
dorothea_AC__viper,dorothea_AC__consensus,263,0.9861945615310498
dorothea_AC__viper,dorothea_AB__consensus,111,0.9871682758597998
dorothea_AC__viper,collectri__consensus,220,0.44848571866776976
dorothea_AC__viper,dorothea_AC_edgeperm__consensus,261,0.20232342396473332
dorothea_AC__viper,dorothea_AB_edgeperm__consensus,108,0.18083217729415357
dorothea_AC__viper,collectri_edgeperm__consensus,217,0.1795143428984341
dorothea_AB__viper,collectri__viper,109,0.6465216732440101
dorothea_AB__viper,dorothea_AC_edgeperm__viper,110,0.1889553229320578
dorothea_AB__viper,dorothea_AB_edgeperm__viper,108,0.21357333188070587
dorothea_AB__viper,collectri_edgeperm__viper,109,0.29441182938378924
dorothea_AB__viper,dorothea_AC__ulm,111,0.9953717699528036
dorothea_AB__viper,dorothea_AB__ulm,111,0.9953717699528036
dorothea_AB__viper,collectri__ulm,109,0.6726677149469698
dorothea_AB__viper,dorothea_AC_edgeperm__ulm,110,0.1818010475003688
dorothea_AB__viper,dorothea_AB_edgeperm__ulm,108,0.2051537442233839
dorothea_AB__viper,collectri_edgeperm__ulm,109,0.31349892433060167
dorothea_AB__viper,dorothea_AC__mlm,111,0.8400910183204715
dorothea_AB__viper,dorothea_AB__mlm,111,0.8673232311138173
dorothea_AB__viper,dorothea_AC_edgeperm__mlm,110,0.046665717340514584
dorothea_AB__viper,dorothea_AB_edgeperm__mlm,108,0.09675925460470405
dorothea_AB__viper,collectri_edgeperm__mlm,109,0.018842923751500533
